complaint,department
Potholes on the flyover are causing massive traffic jams during peak morning rush hours. This is happening on the bridge.,Roads & Potholes
Why is nothing being done about this? The power company workers left the high-voltage junction box completely unlocked and open to kids.,Electricity
Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road. No one is listening to our requests.,Roads & Potholes
No door-to-door trash collection in our village for the past one week. Where should we throw our waste?,Garbage Collection
"The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous. This is happening right outside the railway station.",Water Supply
Our entire phase is down while the opposite side of the road has full power supply. Please check.,Electricity
"Dear authorities, please fix this. A manhole cover is completely missing on the main road near the railway station. Highly dangerous! It has been happening for a long time.",Sewage & Drainage
The street inside our housing society entrance is completely worn out. Needs fix at the central bus stop.,Roads & Potholes
"reckless driving by the municipal bus driver near st. mary's school, almost hit a cyclist today. it is worse early in the morning.",Public Transport
"No bus connectivity or routes available for our village, we have to walk 3 kilometers to the highway. No one is listening to our requests.",Public Transport
complaining on behalf of all residents. watar supply cut off without any prior notice in sunrise housing society. please fix asap.,Water Supply
Main pipeline leaking near the railway station. Water is flooding the nearby shops. It is worse making it unsafe for kids.,Water Supply
Extremely disappointed with municipal services. Stray cattle and dogs have entered the community park because the boundary wall is broken.,Parks & Gardens
no supply for forty eight hours in block b. total crisis situation. this is happening right outside the railway station.,Water Supply
The local city bus completely skipped the central bus stop thrice this morning during rush hour. It is worse especially at night time.,Public Transport
"Highly frustrated with the current state. Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. Hoping for a quick response.",Garbage Collection
This is a recurring problem. Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments.,Garbage Collection
Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden. It is worse early in the morning.,Parks & Gardens
The municipal workers cleared the drain but left the stinking sludge right on the side of the road. It is worse making it unsafe for kids.,Sewage & Drainage
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. Needs fix at the central bus stop.",Parks & Gardens
Please resolve this as soon as possible. Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market. The concerned department must check this today.,Electricity
"The traffic signal at the main market intersection is completely dead, causing massive gridlock.",Traffic Signals
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. needs fix near the local children's park.,Traffic Signals
No water since last 3 days in our village area. The tankers are charging too much money. This is happening right outside teh railway station.,Water Supply
No supply for forty eight hours in block B. Total crisis situation. We pay our taxes regularly for this?,Water Supply
gardn is full of plastic cups and garbage after the local festival event held last weekend. It is worse which is an emergency situation.,Parks & Gardens
No water supply since yesterday morning. It's tough to manage daily chores. This is happening near St. Mary's School.,Water Supply
Dark spots near the bus stop are encouraging anti-social elements to gather there every evening.,Street Lighting
"no traffic police or functional signals near the community hospital, causing ambulance delays. this needs to be fixed before an accident happens.",Traffic Signals
Complaining on behalf of all residents. Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately.,Sewage & Drainage
Why is nothing being done about this? trafic signal hidden behind a massive advertisement billboard near the petrol pump junction.,Traffic Signals
The solar power grid integration is failing repeatedly in Green Valley Apartments block. Needs fix near St. Mary's School.,Electricity
Reminder for the authority: Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. It has been happening for a long time.,Garbage Collection
An emergency situation has arisen. We need regular trimming of the large tree branches overhanging the pathway inside the park.,Parks & Gardens
Please resolve this as soon as possible. Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately. Please take immediate action.,Sewage & Drainage
The city bus tracking app is showing completely wrong timings and live locations for all routes. It has been happening for a long time.,Public Transport
The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop.,Traffic Signals
The drivers are stopping the public buses in the middle of the road instead of the designated bus bay. This is happening in the residential block C.,Public Transport
The sweepers are burning dry leaves and plastic waste in the open near the public park. This is happening in the residential block C.,Garbage Collection
"An emergency situation has arisen. elecricity bill not delivered on time, and now they are charging a heavy late fee penalty. It's getting worse day by day.",Electricity
"No traffic police or functional signals near the community hospital, causing ambulance delays. Please take immediate action.",Traffic Signals
The public library building has developed major cracks on the walls and needs immediate structural audit. Needs fix near the public library.,Other
Very low pressure in the water lines near St. Needs fix near the local children's park.,Water Supply
suwage water leaking and mixing with the open field where children play in our village.,Sewage & Drainage
There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot. This is happening along the commercial market lane.,Other
An emergency situation has arisen. The municipal workers cleared the drain but left the stinking sludge right on the side of the road. No one is listening to our requests.,Sewage & Drainage
"our entire locality is suffering. the pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway.",Traffic Signals
"The crossing light remains red for too long, causing frustrated drivers to break the rules constantly. It is worse making it unsafe for kids.",Traffic Signals
Why is there no water today? Is there a maintenance work going on near the market?. Needs fix by the main vegetable market.,Water Supply
rod is full of potholes near school zone. very dangerous for kids. This needs to be fixed before an accident happens.,Roads & Potholes
gardn is full of plastic cups and garbage after the local festival event held last weekend. It is worse causing minor accidents.,Parks & Gardens
There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot. It is worse over the weekend.,Other
Complaining on behalf of all residents. Potholes on the flyover are causing massive traffic jams during peak morning rush hours. Please update on the status of this complaint.,Roads & Potholes
Massive crater in teh middle of the road near the central bus stop. Needs fix behind the government office.,Roads & Potholes
reminder for the authority: main pipeline leaking near the railway station. water is flooding the nearby shops. this needs to be fixed before an accident happens.,Water Supply
"Loudspeakers are playing high-volume music past midnight near the hospital zone, disturbing patients. This is happening in Sunrise Housing Society.",Other
The garbage truck has not visited our area for four days. The stench is unbearable. It is worse making it unsafe for kids.,Garbage Collection
Highly frustrated with the current state. Frequent load shedding every single day during children's exam preparation time. This is unfair.,Electricity
I want to report that Why is there no water today? Is there a maintenance work going on near the market? This is completely unacceptable.,Water Supply
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. This is happening at the central bus stop.",Public Transport
"Dear authorities, please fix this. The road has completely caved in near the metro station due to the recent drainage work. Kindly address this on high priority.",Roads & Potholes
Illegal street vendors have completely encroached upon the footpaths near the railway station. Please update on the status of this complaint.,Other
"No traffic police or functional signals near the community hospital, causing ambulance delays. Needs fix outside the community hospital.",Traffic Signals
"The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous.",Water Supply
This is a recurring problem. The sweepers are burning dry leaves and plastic waste in the open near the public park. Looking forward to a speedy resolution.,Garbage Collection
"the park benches are broken and covered in bird droppings, nobody can sit there. needs fix near the hanuman temple.",Parks & Gardens
I want to report that The entire locality is flooded with drainage water after the heavy rains yesterday morning.,Sewage & Drainage
Why is nothing being done about this? Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road.,Roads & Potholes
"Street lights outside our apartment have stopped working, making it completely dark at night. This is happening near the public library.",Street Lighting
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. This is happening near St. Mary's School.,Garbage Collection
"The bus shelter near the railway station has no roof, commuters have to stand under the heavy rain. It is worse causing minor accidents.",Public Transport
Unannounced power outage since 10 AM in Sunrise Housing Society. When will power be restored?,Electricity
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. It is worse during peak rush hours.,Street Lighting
Our entire phase is down while the opposite side of the road has full power supply. Please check. This is happening at the central bus stop.,Electricity
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. Please update on the status of this complaint.",Parks & Gardens
The light fixture is broken and hanging dangerously from the pole near the metro station exit.,Street Lighting
Extremely disappointed with municipal services. suwage water leaking and mixing with the open field where children play in our village. It's getting worse day by day.,Sewage & Drainage
Please take strict action. Public washrooms near the central bus stop are absolutely filthy and have no running water. Looking forward to a speedy resolution.,Other
"Water smells heavily of chlorine, it's burning our eyes when we wash our face. This is happening near the petrol pump.",Water Supply
"The entire lane near the railway station is pitch black, which is highly unsafe for women traveling late. Needs fix in the residential block C.",Street Lighting
reckless driving by the municipal bus driver near st. needs fix near the local children's park.,Public Transport
I want to report that The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. Hoping for a quick response.,Sewage & Drainage
Unauthorized vehicle parking on both sides of the narrow lane is blocking the entry of fire engines. This is happening on the bridge.,Other
An emergency situation has arisen. Mosquito breeding ground created due to stagnant drain water behind Green Valley Apartments. Please take immediate action.,Sewage & Drainage
"Highly frustrated with the current state. New LED lights installed are very dim, they do not illuminate the road properly at all. Looking forward to a speedy resolution.",Street Lighting
"highly frustrated with the current state. the road outside the hospital is completely broken, making it extremely dangerous for ambulances. please update on the status of this complaint.",Roads & Potholes
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. Please take immediate action.",Other
Rainwater is not draining away because the storm water drains are full of silt and mud. This is happening near Green Valley Apartments.,Sewage & Drainage
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway. Needs fix near the metro station gate.",Traffic Signals
"The traffic signal at the main market intersection is completely dead, causing massive gridlock. It is worse especially at night time.",Traffic Signals
The newly installed smart signals are not working properly and causing confusion among drivers. Needs fix in Sunrise Housing Society.,Traffic Signals
The green belt area along the highway is being encroached upon by illegal vehicle parking. Please update on the status of this complaint.,Parks & Gardens
loud speaker noise during festival is crossing all permissible decibel limits near school zone. it is worse over the weekend.,Other
No water since last 3 days in our village area. The tankers are charging too much money.,Water Supply
The children's park near our society has overgrown grass and weeds everywhere. Snakes might be there. No one is listening to our requests.,Parks & Gardens
Foul smell coming from the blocked manhole right next to the community hospital entrance. This is happening near the petrol pump.,Sewage & Drainage
"the bus shelter near the railway station has no roof, commuters have to stand under the heavy rain. it is worse in this scorching heat.",Public Transport
Public dustbins are completely broken and missing near the railway station area. Please update on the status of this complaint.,Garbage Collection
No toilet facilities or drinking water available for visitors inside the massive regional park. Needs fix behind the government office.,Parks & Gardens
"The main underground sewer line has collapsed near the petrol pump, causing a bad road cave-in. No one is listening to our requests.",Sewage & Drainage
People are dumping trash right outside the community hospital gate. It is a massive health hazard. It's getting worse day by day.,Garbage Collection
The city bus tracking app is showing completely wrong timings and live locations for all routes.,Public Transport
The drivers are stopping the public buses in the middle of the road instead of the designated bus bay. This is happening near the public library.,Public Transport
The city bus tracking app is showing completely wrong timings and live locations for all routes. Needs fix at the central bus stop.,Public Transport
Please resolve this as soon as possible. The contractor left the road half-tarred near Green Valley Apartments. Dust is flying everywhere. It has been happening for a long time.,Roads & Potholes
"Dear authorities, please fix this. Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours.",Public Transport
"this is a recurring problem. the garbage collection vehicle comes at unpredictable times, sometimes at 5 am or sometimes not at all.",Garbage Collection
"Our entire locality is suffering. Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours. This is completely unacceptable.",Public Transport
There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. It is worse with the upcoming festival season.,Traffic Signals
The tap water is completely muddy and brown today. We can't even use it for washing. We pay our taxes regularly for this?,Water Supply
Please take strict action. Dark spots near the bus stop are encouraging anti-social elements to gather there every evening.,Street Lighting
Please resolve this as soon as possible. Metro feeder buses are charging excess fares from passengers illegally during the festival season.,Public Transport
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. It's getting worse day by day.,Traffic Signals
"publik transport buses are creating heavy black smoke emissions, polluting the entire environment. Needs fix in Sunrise Housing Society.",Public Transport
This is a recurring problem. Illegal construction work going on without building permission behind Green Valley Apartments.,Other
Please resolve this as soon as possible. Someone dumped electronic waste and old furniture right on the pavement near the market. Please take immediate action.,Garbage Collection
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. Please update on the status of this complaint.,Street Lighting
Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market.,Electricity
"Dear authorities, please fix this. The entire stretch from the railway station to the market is full of deep patches and potholes.",Roads & Potholes
An emergency situation has arisen. The blinking yellow cautionary light is not working during late night hours at the dangerous curve.,Traffic Signals
huge potholes have formed near the main vegetable market after the heavy rains yesterday. needs fix in sunrise housing society.,Roads & Potholes
High voltage line has snapped and fallen onto the wet road near the central bus stop. Emergency! No one is listening to our requests.,Electricity
public washrooms near the central bus stop are absolutely filthy and have no running water. please take immediate action.,Other
"Dear authorities, please fix this. We need immediate resurfacing of the main bypass lane. It is destroying our cars and bikes.",Roads & Potholes
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! It's getting worse day by day.",Water Supply
Please resolve this as soon as possible. Main pipeline leaking near the railway station. Water is flooding the nearby shops. No one is listening to our requests.,Water Supply
"Complaining on behalf of all residents. The park benches are broken and covered in bird droppings, nobody can sit there.",Parks & Gardens
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway.",Traffic Signals
"Reminder for the authority: No traffic police or functional signals near the community hospital, causing ambulance delays.",Traffic Signals
The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. Needs fix in the residential block C.,Sewage & Drainage
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. Needs fix outside the nursing home.,Public Transport
"We requested new street lights for our village road six months ago, but still nothing has been done. Needs fix near the petrol pump.",Street Lighting
The newly installed smart signals are not working properly and causing confusion among drivers.,Traffic Signals
Complaining on behalf of all residents. Why is there no water today? Is there a maintenance work going on near the market? Hoping for a quick response.,Water Supply
"Reckless driving by the municipal bus driver near St. Mary's School, almost hit a cyclist today. This is happening in Sunrise Housing Society.",Public Transport
We need regular trimming of the large tree branches overhanging the pathway inside the park. It is worse during peak rush hours.,Parks & Gardens
Someone dumped electronic waste and old furniture right on the pavement near the market. The concerned department must check this today.,Garbage Collection
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. It is worse causing minor accidents.",Garbage Collection
Reminder for the authority: Five consecutive street light poles are non-functional in Sunrise Housing Society main lane.,Street Lighting
"Please resolve this as soon as possible. The bus shelter near the railway station has no roof, commuters have to stand under the heavy rain. Looking forward to a speedy resolution.",Public Transport
stret lights not working since last monday near the local market zone. This is happening near the Hanuman temple.,Street Lighting
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. It is worse with the upcoming festival season.,Other
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. This is happening in our village square.",Garbage Collection
gargabe truck driver driving very recklessly inside the residential complex lines. It is worse during peak rush hours.,Garbage Collection
No water supply since yesterday morning. It's tough to manage daily chores.,Water Supply
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. This is completely unacceptable.",Garbage Collection
"Complaining on behalf of all residents. The park benches are broken and covered in bird droppings, nobody can sit there. This is completely unacceptable.",Parks & Gardens
"The park benches are broken and covered in bird droppings, nobody can sit there. Please take immediate action.",Parks & Gardens
"chemical smoke coming from a small factory inside the residential zone, making it hard to breathe. please take immediate action.",Other
"No working lights on the national highway stretch, leading to minor accidents during night time. Kindly address this on high priority.",Street Lighting
An electric pole is leaning dangerously over the road outside the community hospital. Big hazard! It is worse during peak rush hours.,Electricity
"Our entire locality is suffering. The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous.",Water Supply
The gutters are completely clogged with plastic and garbage near the central bus stop. Needs fix behind the government office.,Sewage & Drainage
our entire phase is down while the opposite side of the road has full power supply. please check. this is happening on the national highway near the toll booth.,Electricity
The drivers are stopping the public buses in the middle of the road instead of the designated bus bay.,Public Transport
Illegal street vendors have completely encroached upon the footpaths near the railway station. It is worse during heavy rains yesterday.,Other
"Unmarked speed breakers near the children's park are a major safety hazard, especially at night time. This is happening in our village square.",Roads & Potholes
"Street lights outside our apartment have stopped working, making it completely dark at night.",Street Lighting
Main pipeline leaking near the railway station. Water is flooding the nearby shops. It is worse which is an emergency situation.,Water Supply
"public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours. needs fix right outside the railway station.",Public Transport
stret lights not working since last monday near the local market zone. It is worse during peak rush hours.,Street Lighting
Why is nothing being done about this? gardn is full of plastic cups and garbage after the local festival event held last weekend.,Parks & Gardens
Mosquito breeding ground created due to stagnant drain water behind Green Valley Apartments. Needs fix near the Hanuman temple.,Sewage & Drainage
Urgent attention needed. No water supply since yesterday morning. It's tough to manage daily chores. This is completely unacceptable.,Water Supply
Please take strict action. There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot. This needs to be fixed before an accident happens.,Other
Potholes on the flyover are causing massive traffic jams during peak morning rush hours. This is happening near the petrol pump.,Roads & Potholes
"complaining on behalf of all residents. the gardener is never present, and the park has turned into a dumping ground for nearby vendors.",Parks & Gardens
"The timer on the traffic light near St. Mary's School is mismatched, giving only 5 seconds to cross. It has been happening for a long time.",Traffic Signals
"The security guard at the municipal garden is always sleeping, and anti-social elements drink alcohol there. This is happening near the metro station gate.",Parks & Gardens
The garbage truck has not visited our area for four days. Needs fix right outside the railway station.,Garbage Collection
Highly frustrated with the current state. Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road.,Roads & Potholes
Kindly look into this issue: No water supply since yesterday morning. It's tough to manage daily chores. Please update on the status of this complaint.,Water Supply
"Reminder for the authority: No working lights inside the ladies' park, making it completely unusable and unsafe after dark. The concerned department must check this today.",Parks & Gardens
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! It is worse making it unsafe for kids.",Water Supply
The garbage truck has not visited our area for four days. The stench is unbearable.,Garbage Collection
Illegal street vendors have completely encroached upon the footpaths near the railway station. Looking forward to a speedy resolution.,Other
Please take strict action. The entire street is littered with plastic bags after the weekend festival celebration. No one is listening to our requests.,Garbage Collection
loud speaker noise during festival is crossing all permissible decibel limits near school zone. It is worse causing minor accidents.,Other
The air conditioning in the premium city buses is completely broken and blowing hot air in this summer. Kindly address this on high priority.,Public Transport
"Writing this out of absolute desperation. Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers. Please update on the status of this complaint.",Street Lighting
"Chemical smoke coming from a small factory inside the residential zone, making it hard to breathe. We pay our taxes regularly for this?",Other
"The walking track inside the park is completely broken, causing senior citizens to trip and fall. It's getting worse day by day.",Parks & Gardens
Municipal sweepers have not cleared the roadside debris for over a fortnight now. It is worse with the upcoming festival season.,Garbage Collection
The lamp post near St. Needs fix behind the government office.,Street Lighting
Unauthorized vehicle parking on both sides of the narrow lane is blocking the entry of fire engines. This is happening in Sunrise Housing Society.,Other
This is a recurring problem. People are dumping trash right outside the community hospital gate. It is a massive health hazard. The concerned department must check this today.,Garbage Collection
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. It is worse during peak rush hours.",Garbage Collection
Deep ditches on the corner of the market lane are causing vehicles to get stuck frequently.,Roads & Potholes
"why is nothing being done about this? water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now!",Water Supply
"trees are completely blocking the street lights near the library, making the footpath very dark. this is happening at the central bus stop.",Street Lighting
rod is full of potholes near school zone. very dangerous for kids. This is happening near St. Mary's School.,Roads & Potholes
No technician has arrived to fix the underground cable fault near the railway station area. It is worse in this scorching heat.,Electricity
Unauthorized vehicle parking on both sides of the narrow lane is blocking the entry of fire engines.,Other
"The timer on the traffic light near St. Mary's School is mismatched, giving only 5 seconds to cross. It is worse over the weekend.",Traffic Signals
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents.",Other
the entire stretch from the railway station to the market is full of deep patches and potholes. this is happening behind the government office.,Roads & Potholes
"Terrible road conditions on the national highway, causing multiple minor accidents every day. Needs fix near Green Valley Apartments.",Roads & Potholes
"The commercial market area is flooded with smelly sewer water, customers cannot enter shops. Needs fix near the petrol pump.",Sewage & Drainage
We need immediate resurfacing of the main bypass lane. It is destroying our cars and bikes. This is happening near the Hanuman temple.,Roads & Potholes
"The entire lane near the railway station is pitch black, which is highly unsafe for women traveling late. This is happening by the sector 4 intersection.",Street Lighting
No technician has arrived to fix the underground cable fault near the railway station area.,Electricity
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. It is worse during heavy rains yesterday.,Other
There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic.,Traffic Signals
"We requested new street lights for our village road six months ago, but still nothing has been done. Needs fix near Green Valley Apartments.",Street Lighting
Both red and green lights are glowing simultaneously at the railway station crossing signal. This is happening near St. Mary's School.,Traffic Signals
no water since last 3 days in our village area. the tankers are charging too much money. this is happening behind the government office.,Water Supply
The main fuse box of our street has caught fire due to overloading during the festival lights decoration. It is worse causing minor accidents.,Electricity
The light fixture is broken and hanging dangerously from the pole near the metro station exit. Needs fix near the public library.,Street Lighting
The children's park near our society has overgrown grass and weeds everywhere. Snakes might be there.,Parks & Gardens
Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society. This is happening along the commercial market lane.,Sewage & Drainage
writing this out of absolute desperation. no toilet facilities or drinking water available for visitors inside the massive regional park. hoping for a quick response.,Parks & Gardens
Muddy and slippery tracks in our village because the main road was never paved by the municipality. This needs to be fixed before an accident happens.,Roads & Potholes
The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. It is worse during peak rush hours.,Sewage & Drainage
"Unmarked speed breakers near the children's park are a major safety hazard, especially at night time. This is happening in Sunrise Housing Society.",Roads & Potholes
We need immediate resurfacing of the main bypass lane. It is destroying our cars and bikes.,Roads & Potholes
watar supply cut off without any prior notice in sunrise housing society. please fix asap. it is worse with the upcoming festival season.,Water Supply
Kindly look into this issue: Power cut during the night time is making it impossible to sleep in this extreme summer heat. It has been happening for a long time.,Electricity
Potholes on the flyover are causing massive traffic jams during peak morning rush hours. Needs fix by the sector 4 intersection.,Roads & Potholes
the digital electricity meter is running exceptionally fast and generating highly inflated bills. it is worse especially at night time.,Electricity
"Reminder for the authority: No traffic police or functional signals near the community hospital, causing ambulance delays. Hoping for a quick response.",Traffic Signals
This is a recurring problem. Muddy and slippery tracks in our village because the main road was never paved by the municipality.,Roads & Potholes
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! Hoping for a quick response.",Water Supply
Extremely disappointed with municipal services. Foul smell coming from the blocked manhole right next to the community hospital entrance.,Sewage & Drainage
Why is nothing being done about this? We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat?,Water Supply
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! This is happening in the residential block C.",Water Supply
"We requested new street lights for our village road six months ago, but still nothing has been done. It is worse making it unsafe for kids.",Street Lighting
"No traffic police or functional signals near the community hospital, causing ambulance delays. It is worse during peak rush hours.",Traffic Signals
Reminder for the authority: The main fuse box of our street has caught fire due to overloading during the festival lights decoration. Please update on the status of this complaint.,Electricity
Public washrooms near the central bus stop are absolutely filthy and have no running water. This is completely unacceptable.,Other
"Why is nothing being done about this? The entire lane near the railway station is pitch black, which is highly unsafe for women traveling late. We pay our taxes regularly for this?",Street Lighting
"Why is nothing being done about this? No working lights on the national highway stretch, leading to minor accidents during night time. Kindly address this on high priority.",Street Lighting
No toilet facilities or drinking water available for visitors inside the massive regional park. It is worse which is an emergency situation.,Parks & Gardens
the traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. kindly address this on high priority.,Traffic Signals
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! This is happening near the metro station gate.",Water Supply
"Reminder for the authority: The pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway. This is completely unacceptable.",Traffic Signals
"Reckless driving by the municipal bus driver near St. Mary's School, almost hit a cyclist today. This is happening near the public library.",Public Transport
"please take strict action. contaminated water coming from municipal lines, smells like sewage. people in our society are falling sick.",Water Supply
"The park benches are broken and covered in bird droppings, nobody can sit there. This is happening by the main vegetable market.",Parks & Gardens
Illegal construction work going on without building permission behind Green Valley Apartments.,Other
The municipal workers refused to collect segregated waste from Sunrise Housing Society today. Needs fix right outside the railway station.,Garbage Collection
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. This is happening by the main vegetable market.,Street Lighting
"The gardener is never present, and the park has turned into a dumping ground for nearby vendors. Needs fix in the residential block C.",Parks & Gardens
An electric pole is leaning dangerously over the road outside the community hospital. Big hazard! It has been happening for a long time.,Electricity
Garbage bins are overflowing near St. Needs fix near St. Mary's School.,Garbage Collection
The entire locality is flooded with drainage water after the heavy rains yesterday morning. It's getting worse day by day.,Sewage & Drainage
"I want to report that The commercial market area is flooded with smelly sewer water, customers cannot enter shops.",Sewage & Drainage
reminder for the authority: our entire phase is down while the opposite side of the road has full power supply. please check. hoping for a quick response.,Electricity
"No working lights on the national highway stretch, leading to minor accidents during night time.",Street Lighting
Please take strict action. The entire stretch from the railway station to the market is full of deep patches and potholes. This is completely unacceptable.,Roads & Potholes
"Contaminated water coming from municipal lines, smells like sewage. People in our society are falling sick. This is happening in Sunrise Housing Society.",Water Supply
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck.",Traffic Signals
The road has completely caved in near the metro station due to teh recent drainage work. This needs to be fixed before an accident happens.,Roads & Potholes
Highly frustrated with the current state. Public dustbins are completely broken and missing near the railway station area. This is completely unacceptable.,Garbage Collection
Kindly look into this issue: The garbage truck has not visited our area for four days. The stench is unbearable.,Garbage Collection
Mosquito breeding ground created due to stagnant drain water behind Green Valley Apartments.,Sewage & Drainage
We need immediate resurfacing of the main bypass lane. It is destroying our cars and bikes. It is worse especially at night time.,Roads & Potholes
Main pipeline leaking near the railway station. Needs fix by the sector 4 intersection.,Water Supply
an electric pole is leaning dangerously over the road outside the community hospital. big hazard! it is worse in this scorching heat.,Electricity
An emergency situation has arisen. Power cut during the night time is making it impossible to sleep in this extreme summer heat. Kindly address this on high priority.,Electricity
"An emergency situation has arisen. The garbage collection vehicle comes at unpredictable times, sometimes at 5 AM or sometimes not at all. Looking forward to a speedy resolution.",Garbage Collection
High voltage line has snapped and fallen onto the wet road near the central bus stop. Emergency! It is worse during heavy rains yesterday.,Electricity
The green belt area along the highway is being encroached upon by illegal vehicle parking. This is happening near the local children's park.,Parks & Gardens
"This is a recurring problem. We requested new street lights for our village road six months ago, but still nothing has been done. Please update on the status of this complaint.",Street Lighting
"contaminated water coming from municipal lines, smells like sewage. needs fix near st. mary's school.",Water Supply
complaining on behalf of all residents. our entire phase is down while the opposite side of the road has full power supply. please check. the concerned department must check this today.,Electricity
Please resolve this as soon as possible. We need immediate resurfacing of the main bypass lane. It is destroying our cars and bikes. Hoping for a quick response.,Roads & Potholes
Frequent load shedding every single day during children's exam preparation time. This is unfair.,Electricity
"The security guard at the municipal garden is always sleeping, and anti-social elements drink alcohol there. It is worse causing minor accidents.",Parks & Gardens
"Dear authorities, please fix this. The city bus tracking app is showing completely wrong timings and live locations for all routes. Please update on the status of this complaint.",Public Transport
There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot. Please update on the status of this complaint.,Other
Highly frustrated with the current state. The road has completely caved in near the metro station due to the recent drainage work. The concerned department must check this today.,Roads & Potholes
Writing this out of absolute desperation. No water supply since yesterday morning. It's tough to manage daily chores.,Water Supply
Highly frustrated with the current state. Rainwater is not draining away because the storm water drains are full of silt and mud.,Sewage & Drainage
"Loudspeakers are playing high-volume music past midnight near the hospital zone, disturbing patients.",Other
the drivers are stopping the public buses in the middle of the road instead of the designated bus bay. needs fix near green valley apartments.,Public Transport
There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. This is happening by the sector 4 intersection.,Traffic Signals
This is a recurring problem. The gutters are completely clogged with plastic and garbage near the central bus stop. Looking forward to a speedy resolution.,Sewage & Drainage
rod is full of potholes near school zone. very dangerous for kids. It is worse during peak rush hours.,Roads & Potholes
"The timer on the traffic light near St. Mary's School is mismatched, giving only 5 seconds to cross. We pay our taxes regularly for this?",Traffic Signals
The local park is completely dark after 6 PM because none of the internal lights are operational.,Street Lighting
I want to report that The gutters are completely clogged with plastic and garbage near the central bus stop. Kindly address this on high priority.,Sewage & Drainage
gardn is full of plastic cups and garbage after the local festival event held last weekend.,Parks & Gardens
Illegal street vendors have completely encroached upon the footpaths near the railway station.,Other
the sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. it is worse causing minor accidents.,Sewage & Drainage
