complaint,department,severity
The entire locality is flooded with drainage water after the heavy rains yesterday morning.,Sewage & Drainage,Medium
"Urgent attention needed. No regular watering of plants in the central public garden, all the beautiful flowers are dying.",Parks & Gardens,High
"the gardener is never present, and the park has turned into a dumping ground for nearby vendors. needs fix in sunrise housing society.",Parks & Gardens,Low
The bus conductors are routinely refusing to issue tickets to students and senior citizens. It's getting worse day by day.,Public Transport,Medium
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. Needs fix at the central bus stop.,Other,Medium
"Complaining on behalf of all residents. Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers.",Street Lighting,High
Reminder for the authority: Illegal hoardings and banners are blocking the view of drivers near the dangerous road curve.,Other,High
This is a recurring problem. Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden.,Parks & Gardens,Low
Writing this out of absolute desperation. Illegal construction work going on without building permission behind Green Valley Apartments.,Other,High
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. Looking forward to a speedy resolution.",Garbage Collection,High
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments.,Garbage Collection,Medium
Why is nothing being done about this? The municipal workers refused to collect segregated waste from Sunrise Housing Society today.,Garbage Collection,Medium
"Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. Please take immediate action.",Garbage Collection,High
Illegal construction work going on without building permission behind Green Valley Apartments. Needs fix outside the nursing home.,Other,High
"The park benches are broken and covered in bird droppings, nobody can sit there. This is happening near Green Valley Apartments.",Parks & Gardens,Medium
"Please take strict action. Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours. Please take immediate action.",Public Transport,High
The sweepers are burning dry leaves and plastic waste in the open near the public park. Kindly address this on high priority.,Garbage Collection,High
"Street lights outside our apartment have stopped working, making it completely dark at night. Needs fix by the main vegetable market.",Street Lighting,Low
"The entire lane near the railway station is pitch black, which is highly unsafe for women traveling late. This is happening behind the government office.",Street Lighting,High
Kindly look into this issue: Stray cattle and dogs have entered the community park because the boundary wall is broken.,Parks & Gardens,Medium
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. This is happening by the sector 4 intersection.,Other,Medium
Complaining on behalf of all residents. Frequent voltage fluctuations are damaging home appliances like refrigerators nd ACs near the market. We pay our taxes regularly for this?,Electricity,Medium
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. This is happening near the public library.,Public Transport,Medium
The contractor left the road half-tarred near Green Valley Apartments. Dust is flying everywhere. It is worse in this scorching heat.,Roads & Potholes,Medium
Urgent attention needed. suwage water leaking and mixing with the open field where children play in our village.,Sewage & Drainage,High
"No working lights inside the ladies' park, making it completely unusable and unsafe after dark. It is worse which is an emergency situation.",Parks & Gardens,High
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. Needs fix at the central bus stop.",Traffic Signals,Medium
Reckless driving by the municipal bus driver near St. Needs fix behind the government office.,Public Transport,Medium
No water supply since yesterday morning. It's tough to manage daily chores. It is worse in this scorching heat.,Water Supply,High
Smell of rotten food coming from teh illegal dumping site behind Green Valley Apartments. This is happening near the metro station gate.,Garbage Collection,Medium
Extremely disappointed with municipal services. The light fixture is broken and hanging dangerously from the pole near the metro station exit.,Street Lighting,Medium
"Signals are completely out of sync along the entire commercial market lane, creating a bottleneck. Hoping for a quick response.",Traffic Signals,Medium
Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road. This needs to be fixed before an accident happens.,Roads & Potholes,High
the city bus tracking app is showing completely wrong timings and live locations for all routes. this is happening on the national highway near the toll booth.,Public Transport,Medium
The children's park near our society has overgrown grass and weeds everywhere. Needs fix near the petrol pump.,Parks & Gardens,Low
The light fixture is broken and hanging dangerously from the pole near the metro station exit. This is happening at the central bus stop.,Street Lighting,Medium
Writing this out of absolute desperation. We need regular trimming of the large tree branches overhanging the pathway inside the park. Kindly address this on high priority.,Parks & Gardens,High
The entire locality is flooded with drainage water after the heavy rains yesterday morning. It is worse during peak rush hours.,Sewage & Drainage,Medium
"Water smells heavily of chlorine, it's burning our eyes when we wash our face. No one is listening to our requests.",Water Supply,Medium
the solar power grid integration is failing repeatedly in green valley apartments block. it's getting worse day by day.,Electricity,Medium
Frequent load shedding every single day during children's exam preparation time. This is unfair. This is happening at the central bus stop.,Electricity,Medium
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross teh highway. This is happening near St. Mary's School.",Traffic Signals,High
I want to report that The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. The concerned department must check this today.,Sewage & Drainage,High
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area.,Other,Medium
I want to report that Foul smell coming from the blocked manhole right next to the community hospital entrance. This is completely unacceptable.,Sewage & Drainage,High
Both red and green lights are glowing simultaneously at the railway station crossing signal. Needs fix near St. Mary's School.,Traffic Signals,High
loud speaker noise during festival is crossing all permissible decibel limits near school zone. This is happening in our village square.,Other,High
The seats inside the public transport buses are torn nd filthy. No maintenance at all. This is happening in Sunrise Housing Society.,Public Transport,Medium
"An emergency situation has arisen. Terrible road conditions on the national highway, causing multiple minor accidents every day.",Roads & Potholes,High
"Kindly look into this issue: Every time it rains, the drains overflow and water enters our houses. We need a permanent solution. No one is listening to our requests.",Sewage & Drainage,High
Extremely disappointed with municipal services. Huge pile of waste collecting near the central bus stop. Dogs and cows are scattering it everywhere.,Garbage Collection,Medium
An emergency situation has arisen. The entire locality is flooded with drainage water after the heavy rains yesterday morning. We pay our taxes regularly for this?,Sewage & Drainage,Medium
"Very low pressure in the water lines near St. Mary's School, cannot fill our overhead tanks.",Water Supply,High
"Contaminated water coming from municipal lines, smells like sewage. People in our society are falling sick.",Water Supply,High
Someone dumped electronic waste and old furniture right on the pavement near the market.,Garbage Collection,Medium
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. This is happening near the Hanuman temple.,Public Transport,Medium
"Dear authorities, please fix this. The crossing light remains red for too long, causing frustrated drivers to break the rules constantly.",Traffic Signals,Medium
"Stray cattle are sitting in the middle of the national highway, causing massive traffic hazards. This is completely unacceptable.",Other,Medium
The street inside our housing society entrance is completely worn out. Senior citizens cannot walk safely. It is worse early in the morning.,Roads & Potholes,Medium
Kindly look into this issue: The power company workers left the high-voltage junction box completely unlocked and open to kids.,Electricity,Medium
We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat? No one is listening to our requests.,Water Supply,Medium
"Chemical smoke coming from a small factory inside the residential zone, making it hard to breathe. It is worse with the upcoming festival season.",Other,Medium
"the crossing light remains red for too long, causing frustrated drivers to break the rules constantly. it is worse during heavy rains yesterday.",Traffic Signals,Medium
I want to report that Stray cattle and dogs have entered the community park because the boundary wall is broken.,Parks & Gardens,Medium
The gutters are completely clogged with plastic and garbage near the central bus stop. This is happening in the residential block C.,Sewage & Drainage,Medium
Highly frustrated with the current state. We need regular trimming of the large tree branches overhanging the pathway inside the park. Hoping for a quick response.,Parks & Gardens,Low
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. This is happening near the local children's park.",Parks & Gardens,Low
Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society. It is worse with the upcoming festival season.,Sewage & Drainage,High
"The walking track inside the park is completely broken, causing senior citizens to trip and fall. Please update on the status of this complaint.",Parks & Gardens,Medium
"Unmarked speed breakers near the children's park are a major safety hazard, especially at night time. It is worse during heavy rains yesterday.",Roads & Potholes,High
"The valve man is not opening the gates properly, some houses get full force while we get nothing. Needs fix near Green Valley Apartments.",Water Supply,Medium
The entire street is littered with plastic bags after the weekend festival celebration. Please take immediate action.,Garbage Collection,High
The lamp post near St. Mary's School has an exposed live wire hanging down. This is an emergency! This is happening near the metro station gate.,Street Lighting,Critical
"Pls check the main water reservoir near the park, it seems to be overflowing and wasting water. This is happening near the public library.",Water Supply,High
Kindly look into this issue: No supply for forty eight hours in block B. Total crisis situation. Please update on the status of this complaint.,Water Supply,Medium
Public dustbins are completely broken and missing near the railway station area. Needs fix at teh central bus stop.,Garbage Collection,Medium
Please take strict action. No water since last 3 days in our village area. The tankers are charging too much money. The concerned department must check this today.,Water Supply,High
"The gardener is never present, and the park has turned into a dumping ground for nearby vendors. Needs fix near the petrol pump.",Parks & Gardens,Low
Writing this out of absolute desperation. The contractor left the road half-tarred near Green Valley Apartments. Dust is flying everywhere. No one is listening to our requests.,Roads & Potholes,Medium
Main pipeline leaking near the railway station. Water is flooding the nearby shops. The concerned department must check this today.,Water Supply,Medium
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. This is happening in the residential block C.",Parks & Gardens,Low
complaining on behalf of all residents. no toilet facilities or drinking water available for visitors inside the massive regional park. hoping for a quick response.,Parks & Gardens,Medium
"This is a recurring problem. The valve man is not opening the gates properly, some houses get full force while we get nothing. This is completely unacceptable.",Water Supply,Medium
"Stray cattle are sitting in the middle of the national highway, causing massive traffic hazards. This is happening in the residential block C.",Other,Medium
An emergency situation has arisen. Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society. Hoping for a quick response.,Sewage & Drainage,High
"Our entire locality is suffering. Contaminated water coming from municipal lines, smells like sewage. People in our society are falling sick.",Water Supply,High
Unannounced power outage since 10 AM in Sunrise Housing Society. When will power be restored? This is happening by the main vegetable market.,Electricity,Medium
It is impossible to walk outside Green Valley Apartments after sunset because the lights are completely dead. The concerned department must check this today.,Street Lighting,Low
Stray cattle and dogs have entered the community park because the boundary wall is broken. Needs fix near Green Valley Apartments.,Parks & Gardens,Medium
"publik transport buses are creating heavy black smoke emissions, polluting the entire environment. This is happening near the local children's park.",Public Transport,Medium
Please resolve this as soon as possible. The electricity transformer near St. Mary's School is sparking loudly and emitting a burning smell. This needs to be fixed before an accident happens.,Electricity,High
Please take strict action. No toilet facilities or drinking water available for visitors inside the massive regional park. Kindly address this on high priority.,Parks & Gardens,High
Our entire locality is suffering. The lamp post near St. Mary's School has an exposed live wire hanging down. This is an emergency! This needs to be fixed before an accident happens.,Street Lighting,Critical
"publik transport buses are creating heavy black smoke emissions, polluting the entire environment. It is worse with the upcoming festival season.",Public Transport,Medium
Foul smell coming from the blocked manhole right next to the community hospital entrance.,Sewage & Drainage,High
Reminder for the authority: Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity.,Street Lighting,Medium
The electricity transformer near St. Mary's School is sparking loudly and emitting a burning smell.,Electricity,High
The digital electricity meter is running exceptionally fast and generating highly inflated bills. This is happening in the residential block C.,Electricity,Medium
Unauthorized vehicle parking on both sides of the narrow lane is blocking the entry of fire engines. It has been happening for a long time.,Other,Medium
"I want to report that The crossing light remains red for too long, causing frustrated drivers to break the rules constantly.",Traffic Signals,Medium
The tap water is completely muddy and brown today. We can't even use it for washing. It is worse during heavy rains yesterday.,Water Supply,Medium
All the swings and slides are broken and rusted in the municipal park near St. Mary's School. This is happening near the local children's park.,Parks & Gardens,High
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! This is happening on the national highway near the toll booth.",Water Supply,High
Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society. This is happening near the local children's park.,Sewage & Drainage,High
writing this out of absolute desperation. the municipal workers cleared the drain but left the stinking sludge right on the side of the road.,Sewage & Drainage,Medium
We need immediate resurfacing of the main bypass lane. It is destroying our cars and bikes. This is completely unacceptable.,Roads & Potholes,Medium
Potholes on the flyover are causing massive traffic jams during peak morning rush hours. This is happening in our village square.,Roads & Potholes,High
"An emergency situation has arisen. Every time it rains, the drains overflow and water enters our houses. We need a permanent solution. We pay our taxes regularly for this?",Sewage & Drainage,High
No door-to-door trash collection in our village for the past one week. Where should we throw our waste? Looking forward to a speedy resolution.,Garbage Collection,Medium
It is impossible to walk outside Green Valley Apartments after sunset because the lights are completely dead. This is happening right outside the railway station.,Street Lighting,Low
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. Needs fix by the sector 4 intersection.",Parks & Gardens,Low
Highly frustrated with the current state. Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden.,Parks & Gardens,Low
I want to report that Muddy and slippery tracks in our village because the main road was never paved by the municipality.,Roads & Potholes,Medium
"Stray cattle are sitting in the middle of the national highway, causing massive traffic hazards. This is happening in Sunrise Housing Society.",Other,Medium
"The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous. It is worse over the weekend.",Water Supply,Medium
main pipeline leaking near the railway station. water is flooding the nearby shops. kindly address this on high priority.,Water Supply,High
"The traffic signal at the main market intersection is completely dead, causing massive gridlock. This is happening on the bridge.",Traffic Signals,Medium
"Terrible road conditions on the national highway, causing multiple minor accidents every day. Needs fix behind the government office.",Roads & Potholes,High
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. This is happening near the public library.",Parks & Gardens,Low
"Extremely disappointed with municipal services. The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous. This is completely unacceptable.",Water Supply,Medium
"We requested new street lights for our village road six months ago, but still nothing has been done. Needs fix near the public library.",Street Lighting,Low
"No bus connectivity or routes available for our village, we have to walk 3 kilometers to the highway. This is happening right outside the railway station.",Public Transport,Medium
The drivers are stopping the public buses in the middle of the road instead of the designated bus bay. Needs fix near St. Mary's School.,Public Transport,High
This is a recurring problem. loud speaker noise during festival is crossing all permissible decibel limits near school zone. This is completely unacceptable.,Other,High
Frequent signal failures at the major intersection are leading to multiple near-miss accidents every day.,Traffic Signals,High
Why is nothing being done about this? The contractor left the road half-tarred near Green Valley Apartments. Dust is flying everywhere.,Roads & Potholes,Medium
Main pipeline leaking near the railway station. Needs fix near the metro station gate.,Water Supply,Medium
"Kindly look into this issue: publik transport buses are creating heavy black smoke emissions, polluting the entire environment. Kindly address this on high priority.",Public Transport,High
"Complaining on behalf of all residents. Water smells heavily of chlorine, it's burning our eyes when we wash our face. The concerned department must check this today.",Water Supply,Medium
The solar power grid integration is failing repeatedly in Green Valley Apartments block.,Electricity,Medium
"Contaminated water coming from municipal lines, smells like sewage. People in our society are falling sick. Please update on teh status of this complaint.",Water Supply,High
"Streetlights are blinking continuously near the community hospital, causing visibility issues for drivers. It is worse causing minor accidents.",Street Lighting,High
No power for the last 12 hours in our village. Customer care number is continuously busy or switched off. Kindly address this on high priority.,Electricity,High
"no working lights on the national highway stretch, leading to minor accidents during night time. this is completely unacceptable.",Street Lighting,High
Potholes on the flyover are causing massive traffic jams during peak morning rush hours. Needs fix near St. Mary's School.,Roads & Potholes,High
Muddy and slippery tracks in our village because the main road was never paved by the municipality. Kindly address this on high priority.,Roads & Potholes,High
Rotting garbage piles near the vegetable market are attracting flies and mosquitoes during this rainy season.,Garbage Collection,Medium
"The garbage collection vehicle comes at unpredictable times, sometimes at 5 AM or sometimes not at all. Needs fix near the Hanuman temple.",Garbage Collection,Medium
I want to report that The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market.,Sewage & Drainage,High
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. It is worse which is an emergency situation.,Garbage Collection,Medium
Why is there no water today? Is there a maintenance work going on near the market? This is happening in our village square.,Water Supply,High
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water.",Parks & Gardens,Low
Sewage water is back-flowing into the ground floor toilets of Sunrise Housing Society. Needs fix along the commercial market lane.,Sewage & Drainage,High
"The security guard at teh municipal garden is always sleeping, and anti-social elements drink alcohol there. This is happening in our village square.",Parks & Gardens,Low
The blinking yellow cautionary light is not working during late night hours at the dangerous curve. This is happening by the main vegetable market.,Traffic Signals,High
An emergency situation has arisen. Why is there no water today? Is there a maintenance work going on near the market?,Water Supply,High
Huge pile of waste collecting near teh central bus stop. Needs fix in the residential block C.,Garbage Collection,Medium
Main pipeline leaking near the railway station. Water is flooding the nearby shops. This is happening right outside the railway station.,Water Supply,Medium
Frequent load shedding every single day during children's exam preparation time. This is unfair. Kindly address this on high priority.,Electricity,High
Metro feeder buses are charging excess fares from passengers illegally during the festival season. Needs fix by the main vegetable market.,Public Transport,Medium
loud speaker noise during festival is crossing all permissible decibel limits near school zone.,Other,High
Huge pile of waste collecting near the central bus stop. Dogs and cows are scattering it everywhere.,Garbage Collection,Medium
Our entire locality is suffering. Unannounced power outage since 10 AM in Sunrise Housing Society. When will power be restored?,Electricity,Medium
Our entire phase is down while the opposite side of the road has full power supply. Please check. This is happening on the national highway near the toll booth.,Electricity,Medium
please take strict action. sewage water is back-flowing into the ground floor toilets of sunrise housing society. it has been happening for a long time.,Sewage & Drainage,High
The garbage truck has not visited our area for four days. The stench is unbearable. Hoping for a quick response.,Garbage Collection,Medium
Potholes on the flyover are causing massive traffic jams during peak morning rush hours. This is happening on the bridge.,Roads & Potholes,High
Why is nothing being done about this? The power company workers left the high-voltage junction box completely unlocked and open to kids.,Electricity,Medium
Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road. No one is listening to our requests.,Roads & Potholes,Medium
No door-to-door trash collection in our village for the past one week. Where should we throw our waste?,Garbage Collection,Medium
"The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous. This is happening right outside the railway station.",Water Supply,Medium
Our entire phase is down while the opposite side of the road has full power supply. Please check.,Electricity,Medium
"Dear authorities, please fix this. A manhole cover is completely missing on the main road near the railway station. Highly dangerous! It has been happening for a long time.",Sewage & Drainage,High
The street inside our housing society entrance is completely worn out. Needs fix at the central bus stop.,Roads & Potholes,Medium
"reckless driving by the municipal bus driver near st. mary's school, almost hit a cyclist today. it is worse early in the morning.",Public Transport,High
"No bus connectivity or routes available for our village, we have to walk 3 kilometers to the highway. No one is listening to our requests.",Public Transport,Medium
complaining on behalf of all residents. watar supply cut off without any prior notice in sunrise housing society. please fix asap.,Water Supply,Medium
Main pipeline leaking near the railway station. Water is flooding the nearby shops. It is worse making it unsafe for kids.,Water Supply,High
Extremely disappointed with municipal services. Stray cattle and dogs have entered the community park because the boundary wall is broken.,Parks & Gardens,Medium
no supply for forty eight hours in block b. total crisis situation. this is happening right outside the railway station.,Water Supply,Medium
The local city bus completely skipped the central bus stop thrice this morning during rush hour. It is worse especially at night time.,Public Transport,Medium
"Highly frustrated with the current state. Garbage bins are overflowing near St. Mary's School, causing a terrible smell for the school children. Hoping for a quick response.",Garbage Collection,High
This is a recurring problem. Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments.,Garbage Collection,Medium
Benches and open gym equipment are being destroyed by rowdy teenagers late at night in the garden. It is worse early in the morning.,Parks & Gardens,Low
The municipal workers cleared the drain but left the stinking sludge right on the side of the road. It is worse making it unsafe for kids.,Sewage & Drainage,High
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. Needs fix at the central bus stop.",Parks & Gardens,Low
Please resolve this as soon as possible. Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market. The concerned department must check this today.,Electricity,Medium
"The traffic signal at the main market intersection is completely dead, causing massive gridlock.",Traffic Signals,Medium
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. needs fix near the local children's park.,Traffic Signals,Medium
No water since last 3 days in our village area. The tankers are charging too much money. This is happening right outside teh railway station.,Water Supply,High
No supply for forty eight hours in block B. Total crisis situation. We pay our taxes regularly for this?,Water Supply,Medium
gardn is full of plastic cups and garbage after the local festival event held last weekend. It is worse which is an emergency situation.,Parks & Gardens,Medium
No water supply since yesterday morning. It's tough to manage daily chores. This is happening near St. Mary's School.,Water Supply,High
Dark spots near the bus stop are encouraging anti-social elements to gather there every evening.,Street Lighting,Low
"no traffic police or functional signals near the community hospital, causing ambulance delays. this needs to be fixed before an accident happens.",Traffic Signals,High
Complaining on behalf of all residents. Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately.,Sewage & Drainage,Critical
Why is nothing being done about this? trafic signal hidden behind a massive advertisement billboard near the petrol pump junction.,Traffic Signals,Medium
The solar power grid integration is failing repeatedly in Green Valley Apartments block. Needs fix near St. Mary's School.,Electricity,High
Reminder for the authority: Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. It has been happening for a long time.,Garbage Collection,Medium
An emergency situation has arisen. We need regular trimming of the large tree branches overhanging the pathway inside the park.,Parks & Gardens,Low
Please resolve this as soon as possible. Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately. Please take immediate action.,Sewage & Drainage,Critical
The city bus tracking app is showing completely wrong timings and live locations for all routes. It has been happening for a long time.,Public Transport,Medium
The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop.,Traffic Signals,High
The drivers are stopping the public buses in the middle of the road instead of the designated bus bay. This is happening in the residential block C.,Public Transport,Medium
The sweepers are burning dry leaves and plastic waste in the open near the public park. This is happening in the residential block C.,Garbage Collection,Medium
"An emergency situation has arisen. elecricity bill not delivered on time, and now they are charging a heavy late fee penalty. It's getting worse day by day.",Electricity,Medium
"No traffic police or functional signals near the community hospital, causing ambulance delays. Please take immediate action.",Traffic Signals,High
The public library building has developed major cracks on the walls and needs immediate structural audit. Needs fix near the public library.,Other,Medium
Very low pressure in the water lines near St. Needs fix near the local children's park.,Water Supply,Medium
suwage water leaking and mixing with the open field where children play in our village.,Sewage & Drainage,Medium
There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot. This is happening along the commercial market lane.,Other,Medium
An emergency situation has arisen. The municipal workers cleared the drain but left the stinking sludge right on the side of the road. No one is listening to our requests.,Sewage & Drainage,Medium
"our entire locality is suffering. the pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway.",Traffic Signals,Medium
"The crossing light remains red for too long, causing frustrated drivers to break the rules constantly. It is worse making it unsafe for kids.",Traffic Signals,High
Why is there no water today? Is there a maintenance work going on near the market?. Needs fix by the main vegetable market.,Water Supply,High
rod is full of potholes near school zone. very dangerous for kids. This needs to be fixed before an accident happens.,Roads & Potholes,High
gardn is full of plastic cups and garbage after the local festival event held last weekend. It is worse causing minor accidents.,Parks & Gardens,High
There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot. It is worse over the weekend.,Other,Medium
Complaining on behalf of all residents. Potholes on the flyover are causing massive traffic jams during peak morning rush hours. Please update on the status of this complaint.,Roads & Potholes,High
Massive crater in teh middle of the road near the central bus stop. Needs fix behind the government office.,Roads & Potholes,Medium
reminder for the authority: main pipeline leaking near the railway station. water is flooding the nearby shops. this needs to be fixed before an accident happens.,Water Supply,High
"Loudspeakers are playing high-volume music past midnight near the hospital zone, disturbing patients. This is happening in Sunrise Housing Society.",Other,High
The garbage truck has not visited our area for four days. The stench is unbearable. It is worse making it unsafe for kids.,Garbage Collection,High
Highly frustrated with the current state. Frequent load shedding every single day during children's exam preparation time. This is unfair.,Electricity,Medium
I want to report that Why is there no water today? Is there a maintenance work going on near the market? This is completely unacceptable.,Water Supply,High
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. This is happening at the central bus stop.",Public Transport,High
"Dear authorities, please fix this. The road has completely caved in near the metro station due to the recent drainage work. Kindly address this on high priority.",Roads & Potholes,Critical
Illegal street vendors have completely encroached upon the footpaths near the railway station. Please update on the status of this complaint.,Other,Medium
"No traffic police or functional signals near the community hospital, causing ambulance delays. Needs fix outside the community hospital.",Traffic Signals,High
"The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous.",Water Supply,Medium
This is a recurring problem. The sweepers are burning dry leaves and plastic waste in the open near the public park. Looking forward to a speedy resolution.,Garbage Collection,Medium
"the park benches are broken and covered in bird droppings, nobody can sit there. needs fix near the hanuman temple.",Parks & Gardens,Medium
I want to report that The entire locality is flooded with drainage water after the heavy rains yesterday morning.,Sewage & Drainage,Medium
Why is nothing being done about this? Two-wheelers are skidding daily due to the loose gravel left on the newly repaired road.,Roads & Potholes,Medium
"Street lights outside our apartment have stopped working, making it completely dark at night. This is happening near the public library.",Street Lighting,Low
Smell of rotten food coming from the illegal dumping site behind Green Valley Apartments. This is happening near St. Mary's School.,Garbage Collection,High
"The bus shelter near the railway station has no roof, commuters have to stand under the heavy rain. It is worse causing minor accidents.",Public Transport,High
Unannounced power outage since 10 AM in Sunrise Housing Society. When will power be restored?,Electricity,Medium
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. It is worse during peak rush hours.,Street Lighting,Medium
Our entire phase is down while the opposite side of the road has full power supply. Please check. This is happening at the central bus stop.,Electricity,Medium
"The public fountain in the main square garden has stopped working and is now full of stagnant, smelly water. Please update on the status of this complaint.",Parks & Gardens,Medium
The light fixture is broken and hanging dangerously from the pole near the metro station exit.,Street Lighting,Medium
Extremely disappointed with municipal services. suwage water leaking and mixing with the open field where children play in our village. It's getting worse day by day.,Sewage & Drainage,Medium
Please take strict action. Public washrooms near the central bus stop are absolutely filthy and have no running water. Looking forward to a speedy resolution.,Other,Medium
"Water smells heavily of chlorine, it's burning our eyes when we wash our face. This is happening near the petrol pump.",Water Supply,Medium
"The entire lane near the railway station is pitch black, which is highly unsafe for women traveling late. Needs fix in the residential block C.",Street Lighting,High
reckless driving by the municipal bus driver near st. needs fix near the local children's park.,Public Transport,Medium
I want to report that The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. Hoping for a quick response.,Sewage & Drainage,High
Unauthorized vehicle parking on both sides of the narrow lane is blocking the entry of fire engines. This is happening on the bridge.,Other,Medium
An emergency situation has arisen. Mosquito breeding ground created due to stagnant drain water behind Green Valley Apartments. Please take immediate action.,Sewage & Drainage,High
"Highly frustrated with the current state. New LED lights installed are very dim, they do not illuminate the road properly at all. Looking forward to a speedy resolution.",Street Lighting,Low
"highly frustrated with the current state. the road outside the hospital is completely broken, making it extremely dangerous for ambulances. please update on the status of this complaint.",Roads & Potholes,High
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. Please take immediate action.",Other,High
Rainwater is not draining away because the storm water drains are full of silt and mud. This is happening near Green Valley Apartments.,Sewage & Drainage,Medium
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway. Needs fix near the metro station gate.",Traffic Signals,Medium
"The traffic signal at the main market intersection is completely dead, causing massive gridlock. It is worse especially at night time.",Traffic Signals,Medium
The newly installed smart signals are not working properly and causing confusion among drivers. Needs fix in Sunrise Housing Society.,Traffic Signals,High
The green belt area along the highway is being encroached upon by illegal vehicle parking. Please update on the status of this complaint.,Parks & Gardens,Medium
loud speaker noise during festival is crossing all permissible decibel limits near school zone. it is worse over the weekend.,Other,High
No water since last 3 days in our village area. The tankers are charging too much money.,Water Supply,High
The children's park near our society has overgrown grass and weeds everywhere. Snakes might be there. No one is listening to our requests.,Parks & Gardens,Low
Foul smell coming from the blocked manhole right next to the community hospital entrance. This is happening near the petrol pump.,Sewage & Drainage,High
"the bus shelter near the railway station has no roof, commuters have to stand under the heavy rain. it is worse in this scorching heat.",Public Transport,Medium
Public dustbins are completely broken and missing near the railway station area. Please update on the status of this complaint.,Garbage Collection,Medium
No toilet facilities or drinking water available for visitors inside the massive regional park. Needs fix behind the government office.,Parks & Gardens,Low
"The main underground sewer line has collapsed near the petrol pump, causing a bad road cave-in. No one is listening to our requests.",Sewage & Drainage,Critical
People are dumping trash right outside the community hospital gate. It is a massive health hazard. It's getting worse day by day.,Garbage Collection,High
The city bus tracking app is showing completely wrong timings and live locations for all routes.,Public Transport,Medium
The drivers are stopping the public buses in the middle of the road instead of the designated bus bay. This is happening near the public library.,Public Transport,Medium
The city bus tracking app is showing completely wrong timings and live locations for all routes. Needs fix at the central bus stop.,Public Transport,Medium
Please resolve this as soon as possible. The contractor left the road half-tarred near Green Valley Apartments. Dust is flying everywhere. It has been happening for a long time.,Roads & Potholes,Medium
"Dear authorities, please fix this. Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours.",Public Transport,Medium
"this is a recurring problem. the garbage collection vehicle comes at unpredictable times, sometimes at 5 am or sometimes not at all.",Garbage Collection,Medium
"Our entire locality is suffering. Public buses are dangerously overcrowded, people are hanging out of the footboard during peak hours. This is completely unacceptable.",Public Transport,Medium
